Date,Open,High,Low,Close,Adj Close,Volume
2022-10-07,45.720001,45.750000,45.470001,45.700001,45.700001,457904
2022-10-10,45.680000,45.680000,44.820000,44.840000,44.840000,453874
2022-10-11,44.580002,44.919998,44.419998,44.660000,44.660000,335843
2022-10-12,44.889999,44.900002,44.529999,44.779999,44.779999,502071
2022-10-13,44.990002,45.049999,44.680000,44.950001,44.950001,351132
2022-10-14,44.840000,44.840000,44.480000,44.529999,44.529999,215232
2022-10-17,44.480000,44.650002,44.290001,44.389999,44.389999,288406
2022-10-18,44.380001,44.580002,44.279999,44.369999,44.369999,346419
2022-10-19,44.490002,44.560001,44.029999,44.430000,44.430000,356939
2022-10-20,44.349998,44.459999,44.150002,44.310001,44.310001,331661
2022-10-21,44.369999,44.369999,43.919998,44.090000,44.090000,532743
2022-10-24,44.090000,47.720001,44.090000,44.950001,44.950001,520135
2022-10-25,45.250000,45.250000,44.500000,44.820000,44.820000,250078
2022-10-27,44.820000,45.240002,44.549999,44.709999,44.709999,687936
2022-10-28,44.720001,45.060001,44.400002,44.610001,44.610001,146390
2022-10-31,44.540001,45.049999,44.270000,44.430000,44.430000,285044
2022-11-01,44.689999,45.070000,44.419998,44.610001,44.610001,1104815
2022-11-02,44.889999,44.900002,44.619999,44.830002,44.830002,327489
2022-11-03,44.779999,44.790001,44.169998,44.259998,44.259998,544366
2022-11-04,44.689999,44.689999,44.380001,44.430000,44.430000,767904
2022-11-07,45.240002,45.240002,44.709999,44.849998,44.849998,997947
2022-11-09,45.910000,45.910000,44.980000,45.060001,45.060001,1409430
2022-11-10,45.230000,45.369999,45.070000,45.250000,45.250000,341887
2022-11-11,46.000000,46.099998,45.490002,46.029999,46.029999,2353607
2022-11-14,46.040001,46.200001,45.939999,46.060001,46.060001,1324380
2022-11-15,46.509998,46.590000,46.119999,46.450001,46.450001,1109580
2022-11-16,46.750000,46.779999,46.360001,46.709999,46.709999,659551
2022-11-17,46.639999,46.639999,46.259998,46.400002,46.400002,312476
2022-11-18,46.590000,46.590000,46.310001,46.419998,46.419998,403068
2022-11-21,46.330002,46.330002,46.029999,46.060001,46.060001,222425
2022-11-22,46.349998,46.349998,46.020000,46.230000,46.230000,413540
2022-11-23,46.230000,46.290001,45.910000,45.950001,45.950001,357740
2022-11-24,46.490002,46.590000,46.209999,46.450001,46.450001,483043
2022-11-25,46.650002,46.680000,46.180000,46.220001,46.220001,823349
2022-11-28,46.340000,46.500000,46.160000,46.410000,46.410000,184744
2022-11-29,46.279999,46.490002,46.009998,46.439999,46.439999,503333
2022-11-30,46.590000,46.590000,46.259998,46.430000,46.430000,287918
2022-12-01,46.980000,46.980000,46.360001,46.619999,46.619999,259947
2022-12-02,47.410000,47.410000,46.810001,47.290001,47.290001,1590641
2022-12-05,47.430000,47.799999,47.139999,47.520000,47.520000,1655938
2022-12-06,47.389999,47.389999,47.000000,47.160000,47.160000,937046
2022-12-07,47.290001,47.380001,47.090000,47.169998,47.169998,814636
2022-12-08,47.490002,47.490002,47.200001,47.299999,47.299999,191019
2022-12-09,47.639999,47.639999,47.169998,47.270000,47.270000,2726937
2022-12-12,47.169998,48.000000,47.169998,47.430000,47.430000,594311
2022-12-13,47.480000,47.560001,47.270000,47.520000,47.520000,467300
2022-12-14,48.410000,48.410000,47.700001,47.869999,47.869999,411643
2022-12-15,47.799999,47.799999,47.160000,47.410000,47.410000,588561
2022-12-16,47.410000,47.750000,47.270000,47.549999,47.549999,369708
2022-12-19,48.209999,48.209999,47.310001,47.790001,47.790001,318789
2022-12-20,47.810001,48.000000,47.599998,47.950001,47.950001,228749
2022-12-21,48.119999,48.200001,48.000000,48.040001,48.040001,608935
2022-12-22,48.509998,48.509998,48.049999,48.209999,48.209999,470623
2022-12-23,47.990002,48.160000,47.639999,47.770000,47.770000,363363
2022-12-26,47.970001,48.139999,47.599998,47.820000,47.820000,195397
2022-12-27,48.029999,48.330002,47.810001,48.270000,48.270000,2143008
2022-12-28,48.480000,48.480000,47.919998,47.970001,47.970001,446152
2022-12-29,48.169998,48.200001,47.860001,47.889999,47.889999,464929
2022-12-30,47.910000,48.380001,47.910000,48.099998,48.099998,746131
2023-01-02,48.119999,48.500000,48.119999,48.419998,48.419998,355568
2023-01-03,48.910000,49.180000,48.630001,49.029999,49.029999,606601
2023-01-04,49.150002,49.520000,49.060001,49.490002,49.490002,670632
2023-01-05,49.529999,49.590000,48.830002,48.900002,48.900002,1035647
2023-01-06,48.900002,48.900002,48.250000,48.680000,48.680000,505591
2023-01-09,49.380001,49.939999,49.299999,49.400002,49.400002,318256
2023-01-10,49.529999,49.529999,49.110001,49.230000,49.230000,214271
2023-01-11,49.340000,49.439999,49.110001,49.369999,49.369999,285330
2023-01-12,49.480000,49.480000,49.160000,49.320000,49.320000,420787
2023-01-13,49.580002,49.660000,49.320000,49.540001,49.540001,261654
2023-01-16,49.779999,49.980000,49.740002,49.919998,49.919998,299047
2023-01-17,50.180000,50.180000,49.700001,49.930000,49.930000,430162
2023-01-18,49.980000,49.990002,49.610001,49.750000,49.750000,247550
2023-01-19,49.889999,49.889999,49.599998,49.810001,49.810001,161127
2023-01-20,50.180000,50.189999,49.959999,50.150002,50.150002,423825
2023-01-23,50.250000,50.340000,50.009998,50.160000,50.160000,495934
2023-01-24,51.480000,51.480000,50.299999,50.369999,50.369999,273895
2023-01-25,50.590000,51.000000,49.919998,50.029999,50.029999,1895562
