Date,Open,High,Low,Close,Adj Close,Volume
2022-12-16,15710.900391,15799.349609,15625.250000,15636.349609,15636.329102,28777500
2022-12-19,15658.849609,15764.000000,15606.150391,15755.200195,15755.179688,25370500
2022-12-20,15704.049805,15740.250000,15580.799805,15726.200195,15726.179688,23261300
2022-12-21,15772.950195,15812.049805,15497.599609,15527.549805,15527.529297,30620200
2022-12-22,15599.549805,15636.099609,15369.599609,15431.500000,15431.479492,27560300
2022-12-23,15300.750000,15349.349609,15018.750000,15046.000000,15045.980469,28171000
2022-12-26,null,null,null,null,null,null
2022-12-27,15375.200195,15433.650391,15278.599609,15418.349609,15418.329102,25513000
2022-12-28,15390.549805,15468.150391,15363.650391,15432.799805,15432.779297,23697500
2022-12-29,15370.000000,15517.450195,15307.000000,15485.200195,15485.179688,21215900
2022-12-30,15557.750000,15581.950195,15425.650391,15448.849609,15448.829102,21417000
2023-01-02,15479.950195,15536.349609,15433.299805,15523.650391,15523.650391,2100336300
2023-01-03,15515.750000,15575.700195,15500.750000,15557.799805,15557.799805,20771100
2023-01-04,15563.150391,15574.500000,15375.799805,15393.000000,15393.000000,21390500
2023-01-05,15446.500000,15462.150391,15286.400391,15386.200195,15386.200195,17566700
2023-01-06,15401.349609,15419.400391,15219.849609,15272.000000,15272.000000,17314600
2023-01-09,15360.400391,15472.150391,15353.349609,15450.099609,15450.099609,16224900
2023-01-10,15470.000000,15472.450195,15262.099609,15325.250000,15325.250000,16031600
2023-01-11,15342.750000,15375.099609,15257.000000,15301.349609,15301.349609,16188500
2023-01-12,15329.700195,15347.200195,15203.549805,15279.599609,15279.599609,15254100
2023-01-13,15295.900391,15370.049805,15215.000000,15346.099609,15346.099609,16543300
2023-01-16,15398.150391,15421.250000,15276.500000,15305.450195,15305.450195,18627400
2023-01-17,15328.849609,15411.000000,15291.599609,15396.150391,15396.150391,16620100
2023-01-18,15416.599609,15479.650391,15376.500000,15466.349609,15466.349609,14567100
2023-01-19,15427.150391,15455.150391,15387.250000,15419.700195,15419.700195,13979400
2023-01-20,15428.200195,15443.450195,15336.700195,15347.900391,15347.900391,14565800
2023-01-23,15411.500000,15427.500000,15364.250000,15403.200195,15403.200195,17463500
2023-01-24,15451.200195,15459.299805,15364.200195,15388.549805,15388.549805,13851600
2023-01-25,15364.400391,15368.700195,15146.400391,15171.950195,15171.950195,17964600
2023-01-27,15160.150391,15165.400391,14779.099609,14874.750000,14874.750000,23619800
2023-01-30,14807.500000,14955.150391,14675.049805,14854.200195,14854.200195,21766700
2023-01-31,14906.450195,14962.950195,14787.849609,14935.500000,14935.500000,21357100
2023-02-01,15054.799805,15154.099609,14622.650391,14847.650391,14847.650391,26382500
2023-02-02,14760.349609,14887.450195,14698.400391,14839.400391,14839.400391,20569100
2023-02-03,14904.099609,14972.150391,14746.450195,14962.349609,14962.349609,20226200
2023-02-06,14939.400391,14954.299805,14870.549805,14934.150391,14934.150391,21782900
2023-02-07,14950.150391,14970.799805,14845.950195,14902.200195,14902.200195,16800000
2023-02-08,14927.549805,15046.700195,14924.049805,15028.299805,15028.299805,17301500
2023-02-09,15036.849609,15054.750000,14956.900391,15030.099609,15030.099609,15692900
2023-02-10,14992.650391,15031.099609,14969.549805,15015.849609,15015.849609,15674600
2023-02-13,15011.349609,15022.549805,14875.849609,14900.500000,14900.500000,13892400
2023-02-14,14936.200195,14988.000000,14879.349609,14968.900391,14968.900391,13173500
2023-02-15,14939.000000,15053.549805,14923.250000,15039.650391,15039.650391,12612200
2023-02-16,15098.450195,15135.349609,15060.000000,15083.750000,15083.750000,12628100
2023-02-17,15036.250000,15077.000000,14966.299805,15003.950195,15003.950195,11788700
2023-02-20,15023.450195,15036.450195,14920.700195,14938.650391,14938.650391,14870400
2023-02-21,14982.000000,14992.700195,14894.150391,14913.950195,14913.950195,13621400
2023-02-22,14854.150391,14861.049805,14674.250000,14701.900391,14701.900391,14453300
2023-02-23,14715.200195,14740.799805,14599.099609,14666.750000,14666.750000,17382800
2023-02-24,14723.400391,14741.950195,14598.950195,14630.450195,14630.450195,14434600
2023-02-27,14600.900391,14609.400391,14465.700195,14548.700195,14548.700195,13597900
2023-02-28,14550.000000,14584.450195,14476.000000,14518.750000,14518.750000,20385500
2023-03-01,14557.000000,14675.049805,14550.099609,14664.849609,14664.849609,16097000
2023-03-02,14654.799805,14668.400391,14575.950195,14587.250000,14587.250000,15599200
2023-03-03,14686.250000,14813.049805,14676.049805,14774.750000,14774.750000,18314000
2023-03-06,14848.349609,14942.049805,14843.700195,14881.000000,14881.000000,16186000
2023-03-08,14843.099609,14932.400391,14791.250000,14921.950195,14921.950195,13836400
2023-03-09,14947.049805,14952.849609,14788.900391,14803.950195,14803.950195,13376000
2023-03-10,14695.049805,14699.349609,14593.400391,14679.849609,14679.849609,12540400
2023-03-13,14681.549805,14752.849609,14420.500000,14454.450195,14454.450195,18200100
2023-03-14,14462.000000,14499.200195,14306.799805,14358.549805,14358.549805,15415200
2023-03-15,14458.150391,14494.349609,14298.150391,14320.299805,14320.299805,13865700
2023-03-16,14328.500000,14387.650391,14189.000000,14330.349609,14330.349609,21668100
2023-03-17,14436.250000,14464.900391,14327.750000,14420.849609,14420.849609,23358000
2023-03-20,14389.849609,14393.599609,14196.500000,14317.099609,14317.099609,16179700
